id,sku,name,type,category,price,regular_price,discount_pct,price_txt,on_sale,price_contact,in_stock,stock_label,sale_until,price_verified,variation_count,permalink
2530,"DPT1000w","Đèn năng lượng mặt trời phi thuyền M-PT1000W Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",2800000,3800000,26,"2.800.000 ₫",true,false,true,"Còn hàng","2026-09-24",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-phi-thuyen-m-pt1000/
5711,"M-PT1200W","Đèn Năng Lượng Mặt Trời Phi Thuyền M-PT1200W",simple,"Đèn đường năng lượng mặt trời",3800000,5400000,30,"3.800.000 ₫",true,false,true,"Còn hàng","2026-09-25",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-phi-thuyen-m-pt1200w/
2528,"DPT800W","Đèn năng lượng mặt trời phi thuyền M-PT800 Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",2600000,3200000,19,"2.600.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-phi-thuyen-m-pt800/
2562,"DSV16","Đèn năng lượng mặt trời trang trí sân vườn M-CC 16cm",simple,"Đèn trang trí năng lượng mặt trời",350000,500000,30,"350.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-trang-tri-san-vuon-16cm/
2564,"DSV32","Đèn năng lượng mặt trời trang trí sân vườn M-CC 32cm",simple,"Đèn trang trí năng lượng mặt trời",1200000,1700000,29,"1.200.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-trang-tri-san-vuon-32-cm/
2533,"DOT300W","Đèn năng lượng mặt trời trong nhà ốp trần M-OT 300W Maxsolar",simple,"Đèn năng lượng mặt trời trong nhà",1350000,1750000,23,"1.350.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-trong-nha-op-tran-300w/
2537,"DOT500W","Đèn năng lượng mặt trời trong nhà ốp trần M-OT 500W Maxsolar",simple,"Đèn năng lượng mặt trời trong nhà",1380000,1900000,27,"1.380.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-trong-nha-op-tran-500w/
4752,"M-DN 500W","Đèn nón năng lượng mặt trời M-DN 500W Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",1500000,2200000,32,"1.500.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-non-nang-luong-mat-troi-500w-dn500/
5522,"M-200W","Đèn Pha Mắt Ngọc Năng Lượng Mặt Trời M-200W",simple,"Đèn pha năng lượng mặt trời",1280000,1800000,29,"1.280.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-mat-ngoc-nang-luong-mat-troi-m-200w/
5536,"M-400W","Đèn Pha Mắt Ngọc Năng Lượng Mặt Trời M-400W",simple,"Đèn pha năng lượng mặt trời",1480000,2114000,30,"1.480.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-mat-ngoc-nang-luong-mat-troi-m-400w/
5550,"M-600W","Đèn Pha Mắt Ngọc Năng Lượng Mặt Trời M-600W",simple,"Đèn pha năng lượng mặt trời",1860000,2650000,30,"1.860.000 ₫",true,false,true,"Còn hàng","2026-09-25",true,0,https://maxsolar.vn/den-pha-mat-ngoc-nang-luong-mat-troi-m-600w/
2505,"DP100W","Đèn pha năng lượng mặt trời M-PH 100W Maxsolar",simple,"Đèn pha năng lượng mặt trời",1100000,1600000,31,"1.100.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-nang-luong-mat-troi-100w/
2509,"DP300W","Đèn pha năng lượng mặt trời M-PH 300W Maxsolar",simple,"Đèn pha năng lượng mặt trời",1550000,2135000,27,"1.550.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-nang-luong-mat-troi-300w/
